package,version,compatible_licenses
gradio,0.8.1,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
halo,0.0.27,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ihepdirac,2.1.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ihepdirac,2.2.4,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
jiwer,2.5.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
libsast,1.3.5,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
locust-plugins,2.1.1,['EPL-2.0']
locust-plugins,2.6.12,['EPL-2.0']
mbed-tools,4.3.1.dev2,[]
mbed-tools,7.49.1,"['AGPL-3.0-only', 'AGPL-3.0-or-later']"
mbed-tools,7.58.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
metaflow,2.2.5,"['GPL-3.0-only', 'GPL-3.0-or-later']"
metaflow,2.4.7,"['GPL-3.0-only', 'GPL-3.0-or-later']"
metaflow,2.7.14,"['GPL-3.0-only', 'GPL-3.0-or-later']"
metricflow-lite,0.130.1,[]
mitmproxy,1.0.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
mitmproxy,2.0.2,"['GPL-3.0-only', 'GPL-3.0-or-later']"
molecule,2.19.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
molecule,3.0a4,"['GPL-3.0-only', 'GPL-3.0-or-later']"
molecule,3.2.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
molecule-docker,0.3.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
music-assistant,0.0.82,"['GPL-3.0-only', 'GPL-3.0-or-later']"
music-assistant,0.2.13,"['GPL-3.0-only', 'GPL-3.0-or-later']"
music-assistant,1.8.6,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
mysql,0.0.3,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
netcdf4,1.5.5.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
njsscan,0.1.9,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
notifiers,1.0.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
notifiers,1.2.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
office365,0.3.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
office365,0.3.13,"['GPL-3.0-only', 'GPL-3.0-or-later']"
oletools,0.60,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
oletools,0.60.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
openapi-core,0.12.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
openapi-core,0.7.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
openapi-schema-validator,0.1.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
optbinning,0.13.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
optbinning,0.17.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
orbit-ml,1.0.10,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
orbit-ml,1.0.17,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
orbit-ml,1.1.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
os-sys,2.1.4,[]
parallel-ssh,1.9.1,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
pathmagic,0.3.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pathmagic,0.3.14,[]
pdm,0.0.0,"['GPL-2.0-only', 'GPL-2.0-or-later']"
phik,0.9.7,"['GPL-3.0-only', 'GPL-3.0-or-later']"
prospector,1.1.3,[]
pulp,2.4,"['EPL-1.0', 'EPL-2.0']"
