package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
pylint-gitlab,0.1.0,2020-06-04 21:13:20.992000+00:00,MIT,tree_created,pylint,2.5.2,GPL-3.0-only,True,1,4,1
pylint-gitlab,1.0.0,2021-12-30 17:45:26.728000+00:00,MIT,tree_created,pylint,2.12.2,GPL-2.0-or-later,True,1,6,1
pylint-gitlab,1.1.0,2022-08-07 18:11:58.206000+00:00,MIT,tree_created,pylint,2.14.5,GPL-2.0-or-later,True,1,8,1
pylint-plugin-utils,0.3,2018-06-29 09:54:28.948000+00:00,GPL-2.0-only,tree_created,pylint,1.9.2,GPL-3.0-only,True,1,4,1
pylint-plugin-utils,0.3,2018-06-29 09:54:28.948000+00:00,GPL-2.0-only,tree_created,astroid,1.6.5,LGPL-3.0-only,False,1,3,2
pylint-plugin-utils,0.6,2019-09-27 09:21:15.149000+00:00,GPL-2.0-only,tree_created,pylint,2.4.1,GPL-3.0-only,True,1,3,1
pylint-plugin-utils,0.6,2019-09-27 09:21:15.149000+00:00,GPL-2.0-only,tree_created,astroid,2.3.0,LGPL-3.0-only,False,1,3,2
pylint-pytest,0.2.0,2020-05-25 22:13:26.692000+00:00,MIT,tree_created,pylint,2.5.2,GPL-3.0-only,True,1,4,1
pylint-pytest,1.1.1,2021-04-13 05:29:32.487000+00:00,MIT,tree_created,pylint,2.7.4,GPL-2.0-or-later,True,1,4,1
pylint-quotes,0.1.7,2017-11-15 14:17:32.554000+00:00,MIT,tree_created,pylint,1.7.4,GPL-3.0-only,True,1,0,1
pylint-quotes,0.2.0,2018-12-11 13:10:21.125000+00:00,MIT,tree_created,pylint,2.2.2,GPL-3.0-only,True,1,3,1
pylint-quotes,0.2.1,2019-01-29 22:27:44.701000+00:00,MIT,tree_created,pylint,2.2.2,GPL-3.0-only,True,1,3,1
pylint-quotes,0.2.3,2021-05-25 12:27:46.634000+00:00,MIT,tree_created,pylint,2.8.2,GPL-2.0-or-later,True,1,4,1
pymc3,3.10.0,2020-12-07 15:45:00.869000+00:00,Apache-2.0,tree_created,cftime,1.3.0,GPL-3.0-only,False,1,1,3
pymc3,3.8,2019-11-30 03:06:11.452000+00:00,Apache-2.0,tree_created,cftime,1.0.4.2,GPL-3.0-only,False,1,1,3
pymiscutils,0.3.1,2019-12-09 01:55:51.322000+00:00,MIT,tree_created,cursor,1.3.4,GPL-3.0-only,True,1,0,1
pymiscutils,0.3.1,2019-12-09 01:55:51.322000+00:00,MIT,tree_created,fuzzywuzzy,0.17.0,GPL-3.0-only,False,1,0,2
pymiscutils,0.3.13,2020-12-15 19:20:34.337000+00:00,MIT,tree_created,gender-guesser,0.4.0,GPL-3.0-only,True,1,0,1
pymiscutils,0.3.13,2020-12-15 19:20:34.337000+00:00,MIT,tree_created,cursor,1.3.4,GPL-3.0-only,True,1,0,1
pymiscutils,0.3.14,2021-02-01 11:59:01.100000+00:00,MIT,tree_created,gender-guesser,0.4.0,GPL-3.0-only,True,1,0,1
pymiscutils,0.3.14,2021-02-01 11:59:01.100000+00:00,MIT,tree_created,cursor,1.3.4,GPL-3.0-only,True,1,0,1
pymiscutils,0.3.14,2021-02-01 11:59:01.100000+00:00,MIT,tree_created,fuzzywuzzy,0.18.0,GPL-2.0-only,False,1,0,2
pyphonetics,0.5.3,2020-02-25 12:08:25.368000+00:00,MIT,tree_created,unidecode,1.1.1,GPL-3.0-only,True,1,0,1
pysubtypes,0.3.10,2020-10-14 14:02:34.238000+00:00,MIT,tree_created,fuzzywuzzy,0.18.0,GPL-2.0-only,True,1,0,1
