package,version,date,license,license_type
google-compute-engine,2.0.0,2016-06-15 22:48:46.521000+00:00,Apache-2.0,Permissive
pytest-freezegun,0.1.0,2017-05-21 15:28:53.284000+00:00,MIT,Permissive
logging-azure-rest,1.2.1,2021-04-30 11:24:14.607000+00:00,GPL-3.0-only,Strong Copyleft
logging-azure-rest,1.2.2,2021-05-10 10:02:24.998000+00:00,MIT,Permissive
grpc-stubs,1.22.2,2019-08-18 15:20:31.239000+00:00,MIT,Permissive
breathe,0.7.0,2011-08-31 21:19:33.827000+00:00,BSD-3-Clause,Permissive
pyupgrade,0.0.0,2017-03-13 00:55:51.177000+00:00,MIT,Permissive
pygdbmi,0.7,2017-01-16 19:50:42.072000+00:00,BSD-3-Clause,Permissive
pygdbmi,0.7.1,2017-01-25 05:42:22.191000+00:00,MIT,Permissive
createsend,3.2.0,2013-05-16 14:56:01.463000+00:00,MIT,Permissive
django-waffle,0.1.0,2011-01-23 19:46:32.417000+00:00,BSD-3-Clause,Permissive
marshmallow3-annotations,1.1.0,2022-05-31 23:47:56.217000+00:00,MIT,Permissive
localstack-client,0.1,2017-07-03 13:17:21.917000+00:00,Apache-2.0,Permissive
restrictedpython,4.0a1,2017-05-05 11:53:59.021000+00:00,ZPL-2.0,Unknown
sqlmodel,0.0.1,2021-08-24 10:12:55.358000+00:00,MIT,Permissive
av,0.2.0,2014-09-11 22:44:25.612000+00:00,BSD-3-Clause,Permissive
pytd,0.1.0,2015-10-24 16:07:16.643000+00:00,Apache-2.0,Permissive
eyes-selenium,1.0,2014-01-01 09:40:28.039000+00:00,Apache-2.0,Permissive
requests-pkcs12,1.0.0,2017-12-04 13:40:10.702000+00:00,ISC,Permissive
types-werkzeug,0.1.7,2021-05-05 18:25:48.761000+00:00,Apache-2.0,Permissive
tf-models-nightly,2.2.0.dev20200314,2020-03-14 19:53:40.662000+00:00,Apache-2.0,Permissive
buildkite-test-collector,0.0.1,2022-06-28 01:34:44.903000+00:00,MIT,Permissive
tardis-client,0.1.0,2019-08-22 12:53:52.620000+00:00,MPL-2.0,Weak Copyleft
rpyc,3.2.0,2011-09-30 21:05:29.394000+00:00,MIT,Permissive
pyrogram,0.0.1a0,2017-12-12 09:34:58.344000+00:00,LGPL-3.0-or-later,Weak Copyleft
pyrogram,2.0.0,2022-04-24 10:06:38.313000+00:00,LGPL-3.0-only,Weak Copyleft
evaluate,0.0.1,2019-11-11 23:25:27.294000+00:00,MIT,Permissive
evaluate,0.1.0,2022-05-31 13:27:09.398000+00:00,Apache-2.0,Permissive
tardis-dev,2.0.0a1,2020-04-09 16:29:16.675000+00:00,MPL-2.0,Weak Copyleft
tbats,1.0.0,2019-01-02 09:56:29.335000+00:00,MIT,Permissive
aws-assume-role-lib,1.0.0,2020-12-12 20:40:06.622000+00:00,Apache-2.0,Permissive
browsermob-proxy,0.0.1,2012-01-16 16:05:50.897000+00:00,Apache-2.0,Permissive
pylru,1.0.6,2013-04-18 17:07:34.095000+00:00,GPL-2.0-only,Strong Copyleft
django-silk,0.1,2014-06-06 18:33:02.077000+00:00,MIT,Permissive
eyes-common,4.0.0,2019-04-30 21:37:27.674000+00:00,Apache-2.0,Permissive
marko,0.1.0,2018-08-16 02:26:24.008000+00:00,MIT,Permissive
google-analytics-data,0.1.0,2020-09-14 22:20:28.232000+00:00,Apache-2.0,Permissive
eyes-core,3.15.3,2019-01-19 07:36:50.350000+00:00,Apache-2.0,Permissive
dartsclone,0.1,2018-11-16 16:32:38.275000+00:00,Apache-2.0,Permissive
kneed,0.0.2,2017-12-11 02:38:46.750000+00:00,BSD-3-Clause,Permissive
django-ckeditor,0.0.1,2010-05-29 10:28:23.670000+00:00,BSD-3-Clause,Permissive
yamlpath,1.0.0,2019-05-08 03:38:09.467000+00:00,ISC,Permissive
cloudinary,0.2.1,2012-07-08 10:08:34.326000+00:00,MIT,Permissive
gcloud-aio-bigquery,0.5.2,2018-03-22 23:45:00.214000+00:00,MIT,Permissive
nulltype,2.0,2014-12-17 01:40:59.592000+00:00,BSD-3-Clause,Permissive
nulltype,2.1.2,2015-07-30 21:33:38.980000+00:00,Apache-2.0,Permissive
django-webtest,1.0.1,2010-04-20 00:42:40.999000+00:00,MIT,Permissive
theano,0.3.0rc4,2010-11-23 00:45:24.455000+00:00,BSD-3-Clause,Permissive
opentelemetry-exporter-jaeger-proto-grpc,1.0.0,2021-03-26 23:03:29.621000+00:00,Apache-2.0,Permissive
types-tzlocal,0.1.1,2021-06-17 15:02:57.345000+00:00,Apache-2.0,Permissive
sanic-routing,0.1.0,2021-02-15 07:06:10.440000+00:00,MIT,Permissive
demjson,1.1,2008-01-29 18:41:08+00:00,GPL-2.0-only,Strong Copyleft
demjson,1.2,2008-03-13 19:35:40+00:00,GPL-3.0-only,Strong Copyleft
demjson,1.4,2008-12-17 06:39:42+00:00,LGPL-3.0-only,Weak Copyleft
pytest-azurepipelines,0.1.0,2019-01-19 00:25:33.842000+00:00,MIT,Permissive
z3-solver,4.4.2.1,2016-10-11 07:28:52.583000+00:00,MIT,Permissive
mozlog,1.1,2012-06-05 21:02:07.700000+00:00,MPL-2.0,Weak Copyleft
airflow-clickhouse-plugin,0.5.0,2020-03-30 09:35:52.281000+00:00,Apache-2.0,Permissive
airflow-clickhouse-plugin,0.5.1,2020-04-03 13:05:00.444000+00:00,MIT,Permissive
dbfread,1.0.0,2014-07-25 20:07:27.114000+00:00,MIT,Permissive
marketorestpython,0.1,2015-12-28 15:48:02.956000+00:00,MIT,Permissive
codecheck,1.0.5,2021-05-30 00:16:05.246000+00:00,Apache-2.0,Permissive
django-reversion,1.5.1,2012-02-28 18:04:04.726000+00:00,BSD-3-Clause,Permissive
flake8-use-fstring,1.1,2020-06-08 03:08:15.069000+00:00,MIT,Permissive
lkml,0.0.1,2019-06-26 16:21:08.307000+00:00,BSD-3-Clause,Permissive
lkml,0.1.1,2019-07-08 18:45:17.679000+00:00,MIT,Permissive
zenpy,0.0.8,2015-08-30 13:00:37.302000+00:00,GPL-3.0-only,Strong Copyleft
tox-gh-actions,0.2.0,2019-09-17 14:18:56.371000+00:00,MIT,Permissive
dagit,0.0.1,2018-08-10 13:32:52.569000+00:00,Apache-2.0,Permissive
types-flask,0.1.2,2021-05-12 18:34:23.074000+00:00,Apache-2.0,Permissive
pyspark-stubs,2.3.0.post6,2019-08-24 19:48:59.582000+00:00,Apache-2.0,Permissive
docformatter,0.1.1,2012-05-27 02:18:36.339000+00:00,MIT,Permissive
dnslib,0.2,2010-09-22 00:10:11.130000+00:00,BSD-3-Clause,Permissive
mirakuru,0.1.0,2014-07-02 21:25:36.563000+00:00,LGPL-3.0-only,Weak Copyleft
mirakuru,2.3.1,2021-05-07 15:24:16.350000+00:00,LGPL-3.0-or-later,Weak Copyleft
pytest-split,0.2.1,2021-06-14 09:49:21.933000+00:00,MIT,Permissive
shopifyapi,0.1.0,2011-08-23 17:17:18.065000+00:00,MIT,Permissive
airflow-dbt,0.0.1,2020-02-26 15:05:19.754000+00:00,MIT,Permissive
certbot,0.6.0,2016-05-12 20:37:38.389000+00:00,Apache-2.0,Permissive
django-rest-auth,0.1,2014-04-30 21:08:48.312000+00:00,MIT,Permissive
importlib,1.0,2009-02-03 05:46:05+00:00,PSF-2.0,Unknown
pytenable,0.1.0,2018-10-03 06:17:23.824000+00:00,MIT,Permissive
websocket,0.2.1,2010-12-03 11:51:30.867000+00:00,MIT,Permissive
gdbgui,0.7,2017-01-23 02:21:03.563000+00:00,BSD-3-Clause,Permissive
gdbgui,0.7.1,2017-01-25 06:10:59.316000+00:00,MIT,Permissive
