package,version,date,license,license_type
boto3,0.0.1,2014-11-11 20:30:40.057000+00:00,Apache-2.0,Permissive
urllib3,0.2,2009-12-11 08:47:22.568000+00:00,MIT,Permissive
requests,0.2.0,2011-02-14 08:49:42.641000+00:00,ISC,Permissive
requests,1.0.0,2012-12-17 15:00:05.110000+00:00,Apache-2.0,Permissive
botocore,0.4.1,2012-12-21 18:16:05.356000+00:00,MIT,Permissive
botocore,0.33.0,2014-02-06 19:44:03.933000+00:00,Apache-2.0,Permissive
setuptools,0.6b1,2006-05-12 22:42:21+00:00,ZPL-2.0,Unknown
setuptools,19.5,2016-01-24 02:27:01.554000+00:00,MIT,Permissive
charset-normalizer,0.1a0,2019-08-02 16:03:53.102000+00:00,MIT,Permissive
google-api-core,0.1.0,2017-10-26 21:59:01.804000+00:00,Apache-2.0,Permissive
idna,0.2,2013-07-16 19:29:45.445000+00:00,BSD-3-Clause,Permissive
certifi,0.0.1,2011-12-28 07:27:42.157000+00:00,ISC,Permissive
certifi,2017.7.27.1,2017-07-27 15:46:22.548000+00:00,MPL-2.0,Weak Copyleft
s3transfer,0.0.1,2016-01-18 22:41:28.648000+00:00,Apache-2.0,Permissive
python-dateutil,1.4,2008-08-06 19:11:48+00:00,Python-2.0,Unknown
python-dateutil,2.1,2012-03-28 18:03:09.506000+00:00,BSD-3-Clause,Permissive
python-dateutil,2.7.0,2018-03-11 23:34:17.867000+00:00,Apache-2.0,Permissive
python-dateutil,2.7.1,2018-03-24 19:08:09.782000+00:00,BSD-3-Clause,Permissive
typing-extensions,3.6.2,2017-09-17 12:25:17.911000+00:00,PSF-2.0,Unknown
six,0.9.2,2010-07-05 00:42:38.202000+00:00,MIT,Permissive
PyYAML,3.10,2011-07-01 22:59:26.759000+00:00,MIT,Permissive
cryptography,0.1,2014-01-08 23:17:39.968000+00:00,Apache-2.0,Permissive
cryptography,0.7,2014-12-18 03:34:27.214000+00:00,BSD-3-Clause,Permissive
awscli,0.4.1,2012-12-21 18:16:31.205000+00:00,MIT,Permissive
awscli,0.4.2,2012-12-21 18:25:59.102000+00:00,Apache-2.0,Permissive
pip,0.2,2008-10-28 17:22:10+00:00,MIT,Permissive
numpy,1.0,2006-12-02 02:07:43+00:00,BSD-3-Clause,Permissive
wheel,0.1,2012-07-01 07:33:22.549000+00:00,MIT,Permissive
packaging,14.0,2014-09-05 00:26:05.098000+00:00,Apache-2.0,Permissive
packaging,16.0,2016-01-19 14:58:40.061000+00:00,BSD-3-Clause,Permissive
jmespath,0.0.1,2013-02-27 16:25:11.416000+00:00,MIT,Permissive
rsa,1.1,2008-04-23 11:27:28+00:00,GPL-3.0-only,Strong Copyleft
rsa,3.0,2011-08-05 10:41:01.119000+00:00,Apache-2.0,Permissive
pyasn1,0.0.9a,2009-11-23 22:41:54.406000+00:00,BSD-3-Clause,Permissive
protobuf,2.0.0beta,2008-07-10 22:36:10+00:00,Apache-2.0,Permissive
protobuf,2.0.3,2008-12-05 22:11:52+00:00,BSD-3-Clause,Permissive
importlib-metadata,0.0,2018-05-17 17:47:55.389000+00:00,Apache-2.0,Permissive
colorama,0.1,2010-04-20 02:02:19.446000+00:00,BSD-3-Clause,Permissive
zipp,0.1.0,2018-11-15 22:03:12.690000+00:00,MIT,Permissive
attrs,15.0.0a1,2015-02-21 10:42:56.582000+00:00,MIT,Permissive
pandas,0.1,2009-12-26 17:14:35.535000+00:00,BSD-3-Clause,Permissive
PyJWT,0.1.1,2011-03-06 21:04:22.736000+00:00,MIT,Permissive
click,0.1,2014-04-28 11:24:09.792000+00:00,BSD-3-Clause,Permissive
pytz,2005k,2005-08-19 06:04:15+00:00,MIT,Permissive
pytz,2004b,2013-10-01 15:18:06.009000+00:00,BSD-3-Clause,Permissive
pytz,2005a,2013-10-01 15:32:15.073000+00:00,MIT,Permissive
cffi,0.1,2012-06-18 14:53:58.813000+00:00,MIT,Permissive
MarkupSafe,0.9,2010-06-22 19:55:49.280000+00:00,BSD-3-Clause,Permissive
Jinja2,2.0rc1,2008-06-09 16:55:06+00:00,BSD-3-Clause,Permissive
pycparser,2.03,2011-03-07 06:07:28.937000+00:00,LGPL-3.0-only,Weak Copyleft
pycparser,2.04,2011-05-21 08:38:58.617000+00:00,BSD-3-Clause,Permissive
aiobotocore,0.0.5,2016-07-01 20:59:19.218000+00:00,Apache-2.0,Permissive
oauthlib,0.0.1,2012-04-11 16:14:11.275000+00:00,BSD-3-Clause,Permissive
docutils,0.3,2013-07-24 05:33:59.144000+00:00,GPL-2.0-only,Strong Copyleft
docutils,0.8,2011-07-08 14:05:26.049000+00:00,BSD-3-Clause,Permissive
google-auth,0.0.1,2016-10-10 20:38:43.846000+00:00,Apache-2.0,Permissive
fsspec,0.1.1,2019-01-02 18:01:16.604000+00:00,BSD-3-Clause,Permissive
googleapis-common-protos,1.0.0,2015-12-16 22:10:46.454000+00:00,Apache-2.0,Permissive
requests-oauthlib,0.2.0,2012-11-23 11:00:33.667000+00:00,ISC,Permissive
sqlalchemy,0.1.0,2006-02-14 03:11:34+00:00,MIT,Permissive
s3fs,0.0.1,2016-03-22 17:53:17.513000+00:00,BSD-3-Clause,Permissive
pyparsing,1.4.6,2007-06-30 14:42:51+00:00,MIT,Permissive
cachetools,0.0.0,2014-03-22 12:06:53.796000+00:00,MIT,Permissive
wrapt,1.0.0,2013-09-06 21:23:22.799000+00:00,BSD-3-Clause,Permissive
grpcio-status,1.16.0,2018-12-11 00:12:44.088000+00:00,Apache-2.0,Permissive
jsonschema,0.1a,2012-01-02 03:52:12.562000+00:00,MIT,Permissive
tomli,0.1.0,2021-05-27 22:20:23.238000+00:00,MIT,Permissive
pyarrow,0.2.0,2017-03-16 22:18:14.139000+00:00,Apache-2.0,Permissive
psutil,0.1.1,2014-02-06 02:06:57.249000+00:00,BSD-3-Clause,Permissive
isodate,0.3.0,2009-01-05 01:07:11+00:00,BSD-3-Clause,Permissive
greenlet,0.1,2006-01-10 03:13:47+00:00,MIT,Permissive
pyasn1-modules,0.0.1a,2011-03-06 15:37:45.289000+00:00,BSD-3-Clause,Permissive
aiohttp,0.1,2013-10-25 18:17:03.912000+00:00,BSD-3-Clause,Permissive
aiohttp,0.10.0,2014-11-14 09:54:32.889000+00:00,Apache-2.0,Permissive
platformdirs,2.0.0a1,2021-05-13 11:43:38.104000+00:00,MIT,Permissive
grpcio,0.4.0a5,2015-03-31 22:15:05.297000+00:00,BSD-3-Clause,Permissive
grpcio,1.6.0rc1,2017-08-24 22:06:48.063000+00:00,Apache-2.0,Permissive
decorator,3.3.1,2011-04-22 14:36:49.274000+00:00,BSD-3-Clause,Permissive
async-timeout,1.0.0,2016-09-09 06:01:31.119000+00:00,Apache-2.0,Permissive
werkzeug,0.1,2007-12-09 18:29:44+00:00,BSD-3-Clause,Permissive
pluggy,0.3.0,2015-05-07 09:35:49.002000+00:00,MIT,Permissive
coverage,3.0b3,2009-05-16 21:03:17.044000+00:00,BSD-3-Clause,Permissive
coverage,4.0b1,2015-08-03 00:46:41.044000+00:00,Apache-2.0,Permissive
lxml,0.9,2006-03-21 18:48:34+00:00,BSD-3-Clause,Permissive
openpyxl,1.1.0,2010-09-01 11:13:44.032000+00:00,MIT,Permissive
beautifulsoup4,4.0.2,2014-01-21 05:35:09.581000+00:00,MIT,Permissive
soupsieve,0.4,2018-12-08 22:44:49.932000+00:00,MIT,Permissive
multidict,1.0.0a0,2016-02-19 10:44:17.227000+00:00,Apache-2.0,Permissive
et-xmlfile,1.1.0,2021-04-26 13:26:03.429000+00:00,MIT,Permissive
google-cloud-storage,0.20.0,2016-09-29 00:18:18.689000+00:00,Apache-2.0,Permissive
azure-core,1.0.0b1,2019-06-27 16:42:34.736000+00:00,MIT,Permissive
yarl,0.0.1,2016-08-30 04:46:58.345000+00:00,Apache-2.0,Permissive
filelock,0.2.0,2014-07-06 10:37:55.868000+00:00,Unlicense,Permissive
chardet,1.0,2006-12-23 17:39:10+00:00,LGPL-3.0-only,Weak Copyleft
pytest,2.0.0,2010-11-25 21:00:27.474000+00:00,MIT,Permissive
psycopg2-binary,2.7.3.2,2018-01-29 12:49:31.481000+00:00,ZPL-2.0,Unknown
psycopg2-binary,2.8.6,2020-09-06 22:42:50.486000+00:00,LGPL-3.0-or-later,Weak Copyleft
pydantic,0.0.1,2017-05-03 20:58:46.547000+00:00,MIT,Permissive
pillow,1.1,2010-08-01 02:14:29.452000+00:00,MIT,Permissive
pillow,6.0.0,2019-04-02 04:38:07.561000+00:00,HPND,Unknown
pyopenssl,0.6,2008-06-04 16:13:56+00:00,LGPL-3.0-only,Weak Copyleft
pyopenssl,0.13,2011-09-04 23:05:56.018000+00:00,Apache-2.0,Permissive
tqdm,2.0.0,2015-10-11 20:29:50.763000+00:00,MIT,Permissive
tqdm,4.4.3,2016-04-24 19:43:41.382000+00:00,MPL-2.0,Weak Copyleft
pyrsistent,0.1.0,2013-11-10 18:04:39.786000+00:00,MIT,Permissive
scipy,0.10.0,2011-11-13 20:36:58.115000+00:00,BSD-3-Clause,Permissive
importlib-resources,0.1.0,2017-12-07 02:25:58.006000+00:00,Apache-2.0,Permissive
pygments,0.5,2006-10-30 10:26:25+00:00,LGPL-2.1-only,Weak Copyleft
pygments,0.6,2006-12-20 21:36:55+00:00,BSD-3-Clause,Permissive
frozenlist,1.0.0a0,2019-08-28 20:17:32.110000+00:00,Apache-2.0,Permissive
aiosignal,1.0.0a0,2019-08-28 22:04:31.398000+00:00,Apache-2.0,Permissive
pymysql,0.2,2010-09-03 03:31:31.929000+00:00,MIT,Permissive
asn1crypto,0.12.0,2015-10-26 03:24:05.029000+00:00,MIT,Permissive
flask,0.1,2010-04-16 14:29:37.458000+00:00,BSD-3-Clause,Permissive
tabulate,0.3,2013-03-08 18:06:40.167000+00:00,MIT,Permissive
websocket-client,0.58.0,2021-03-03 02:32:28.248000+00:00,LGPL-2.1-or-later,Weak Copyleft
websocket-client,1.2.0,2021-08-11 01:44:27.695000+00:00,Apache-2.0,Permissive
msrest,0.0.1,2016-02-19 00:20:35.465000+00:00,MIT,Permissive
virtualenv,0.8,2007-09-14 23:32:10+00:00,MIT,Permissive
google-cloud-bigquery,0.20.0,2016-09-29 00:15:39.290000+00:00,Apache-2.0,Permissive
google-api-python-client,1.0alpha2,2011-03-18 14:59:43.984000+00:00,Apache-2.0,Permissive
iniconfig,0.1,2010-10-12 17:42:07.038000+00:00,MIT,Permissive
google-cloud-core,0.20.0,2016-09-29 00:13:26.718000+00:00,Apache-2.0,Permissive
requests-toolbelt,0.1.0,2014-01-18 22:06:40.196000+00:00,Apache-2.0,Permissive
itsdangerous,0.9,2011-06-24 02:53:45.500000+00:00,BSD-3-Clause,Permissive
google-auth-oauthlib,0.0.1,2017-03-23 20:28:32.526000+00:00,Apache-2.0,Permissive
google-resumable-media,0.0.1,2017-04-21 19:22:27.453000+00:00,Apache-2.0,Permissive
exceptiongroup,0.0.0a0,2020-11-04 21:02:13.231000+00:00,MIT,Permissive
azure-storage-blob,0.37.0,2017-10-05 00:54:32.333000+00:00,Apache-2.0,Permissive
azure-storage-blob,1.0.0,2018-01-23 03:07:21.766000+00:00,MIT,Permissive
httplib2,0.7.3,2012-03-02 17:47:10.257000+00:00,MIT,Permissive
proto-plus,0.1.0a1,2018-10-03 15:12:24.315000+00:00,Apache-2.0,Permissive
distlib,0.1.1,2013-03-22 17:59:47.955000+00:00,BSD-3-Clause,Permissive
distlib,0.2.2,2016-01-30 14:20:14.792000+00:00,PSF-2.0,Unknown
mypy-extensions,0.1.0,2017-01-13 17:32:48.065000+00:00,MIT,Permissive
pynacl,0.1.0,2013-04-14 05:29:16.160000+00:00,BSD-3-Clause,Permissive
pynacl,0.2.0,2013-10-28 14:43:24.126000+00:00,Apache-2.0,Permissive
scikit-learn,0.9,2011-09-24 01:03:51.910000+00:00,BSD-3-Clause,Permissive
deprecated,1.1.0,2017-11-20 14:09:01.142000+00:00,MIT,Permissive
azure-common,1.0.0rc1,2015-08-24 20:06:08.444000+00:00,Apache-2.0,Permissive
azure-common,1.1.5,2017-04-11 15:39:10.798000+00:00,MIT,Permissive
paramiko,1.7.6,2010-10-27 03:00:39.496000+00:00,LGPL-3.0-only,Weak Copyleft
bcrypt,1.0.0,2013-05-11 04:58:38.754000+00:00,Apache-2.0,Permissive
toml,0.6.0,2013-02-24 22:07:02.172000+00:00,MIT,Permissive
sqlparse,0.1.1,2013-05-20 06:40:33.470000+00:00,BSD-3-Clause,Permissive
future,0.0.2,2013-07-20 04:42:00.985000+00:00,MIT,Permissive
sagemaker,1.0.0,2017-11-30 06:11:50.430000+00:00,Apache-2.0,Permissive
cython,0.9.6.5,2007-08-31 10:44:22+00:00,PSF-2.0,Unknown
cython,0.11,2009-03-14 08:57:40.272000+00:00,Apache-2.0,Permissive
gitpython,0.1.7,2010-03-21 02:56:30.287000+00:00,BSD-3-Clause,Permissive
matplotlib,0.86,2006-01-09 14:02:01+00:00,HPND,Unknown
matplotlib,0.91.0,2007-11-28 03:25:13+00:00,Python-2.0,Unknown
matplotlib,1.2.0,2015-10-12 16:43:11.221000+00:00,BSD-3-Clause,Permissive
matplotlib,2.2.4,2019-03-01 05:23:03.720000+00:00,PSF-2.0,Unknown
matplotlib,3.0.0rc2,2018-08-28 01:54:10.112000+00:00,BSD-3-Clause,Permissive
matplotlib,3.0.3,2019-03-01 03:36:40.336000+00:00,PSF-2.0,Unknown
py4j,0.1,2009-12-23 16:45:46.976000+00:00,BSD-3-Clause,Permissive
py,0.9.1,2008-03-30 19:46:45+00:00,MIT,Permissive
pexpect,2.4,2008-08-18 23:31:55+00:00,MIT,Permissive
pexpect,3.0,2013-11-11 18:42:48.901000+00:00,ISC,Permissive
ptyprocess,0.1,2014-10-03 22:35:47.404000+00:00,ISC,Permissive
wcwidth,0.1.0,2014-05-05 02:19:13.603000+00:00,MIT,Permissive
smmap,0.8.0,2011-06-13 23:12:31.134000+00:00,BSD-3-Clause,Permissive
gitdb,0.5.0,2010-07-08 11:44:45.152000+00:00,BSD-3-Clause,Permissive
pathspec,0.2.2,2013-12-17 17:01:42.635000+00:00,MPL-2.0,Weak Copyleft
more-itertools,2.0,2012-07-26 19:35:17.946000+00:00,MIT,Permissive
pg8000,1.05,2008-09-04 14:10:11+00:00,BSD-3-Clause,Permissive
docker,2.0.0,2016-12-12 22:08:54.939000+00:00,Apache-2.0,Permissive
msgpack,0.5.0,2018-01-09 09:23:44.165000+00:00,Apache-2.0,Permissive
msal,0.1.0,2018-12-12 19:53:31.992000+00:00,MIT,Permissive
sniffio,1.0.0,2018-08-01 03:01:03.861000+00:00,MIT,Permissive
snowflake-connector-python,1.3.17,2017-06-01 18:02:59.866000+00:00,Apache-2.0,Permissive
pycryptodomex,3.7.0,2018-10-28 13:33:13.609000+00:00,BSD-2-Clause,Permissive
pycryptodomex,3.7.1,2018-11-25 07:20:21.971000+00:00,BSD-3-Clause,Permissive
pycryptodomex,3.8.1,2019-04-04 09:29:00.769000+00:00,Apache-2.0,Permissive
pycryptodomex,3.10.1,2021-02-09 14:08:11.975000+00:00,BSD-3-Clause,Permissive
portalocker,0.2,2011-02-23 19:26:24.894000+00:00,PSF-2.0,Unknown
portalocker,2.6.0,2022-10-18 15:19:32.549000+00:00,BSD-3-Clause,Permissive
cloudpickle,0.1.0,2015-04-16 20:28:31.717000+00:00,BSD-3-Clause,Permissive
pycodestyle,1.8.0.dev0,2016-05-31 00:09:19.707000+00:00,MIT,Permissive
webencodings,0.1,2012-12-23 21:48:40.288000+00:00,BSD-3-Clause,Permissive
kiwisolver,1.1.0,2019-10-29 13:01:23.221000+00:00,BSD-3-Clause,Permissive
joblib,0.1a.dev,2008-10-26 14:11:28+00:00,BSD-3-Clause,Permissive
regex,0.1.20100217,2010-02-17 13:59:04.602000+00:00,PSF-2.0,Unknown
regex,2014.10.23,2014-10-23 18:45:23.492000+00:00,Apache-2.0,Permissive
regex,2017.02.08,2017-02-08 22:13:06.633000+00:00,PSF-2.0,Unknown
regex,2020.10.11,2020-10-11 02:32:47.007000+00:00,Apache-2.0,Permissive
google-cloud-bigquery-storage,0.1.0,2018-11-30 21:55:21.821000+00:00,Apache-2.0,Permissive
pyspark,2.1.3,2018-06-29 21:34:56.841000+00:00,Apache-2.0,Permissive
termcolor,0.1.1,2009-03-05 16:46:38.346000+00:00,GPL-3.0-only,Strong Copyleft
termcolor,1.0.0,2011-01-13 16:13:57.047000+00:00,MIT,Permissive
scramp,0.0.0,2019-02-10 14:32:02.648000+00:00,MIT,Permissive
redis,0.6.0,2013-06-25 02:13:47.376000+00:00,MIT,Permissive
backoff,1.0,2014-05-13 18:21:08.463000+00:00,MIT,Permissive
cycler,0.9.0,2015-07-04 01:36:05.042000+00:00,BSD-3-Clause,Permissive
tzlocal,0.1,2012-09-11 13:30:04.887000+00:00,CC0-1.0,Permissive
tzlocal,1.4,2017-04-18 16:51:48.248000+00:00,MIT,Permissive
msal-extensions,0.1.1,2019-07-17 20:11:09.794000+00:00,MIT,Permissive
keyring,3.5,2014-02-14 20:35:56.803000+00:00,MIT,Permissive
keyring,5.7.1,2015-12-13 01:56:16.008000+00:00,PSF-2.0,Unknown
mccabe,0.2,2013-02-22 07:07:44.657000+00:00,MIT,Permissive
google-crc32c,0.0.1,2020-01-16 22:58:51.775000+00:00,Apache-2.0,Permissive
uritemplate,0.5,2012-05-11 03:59:52.892000+00:00,Apache-2.0,Permissive
uritemplate,2.0.0rc1,2016-08-20 12:05:47.560000+00:00,BSD-3-Clause,Permissive
gunicorn,0.1,2010-01-03 21:50:51.389000+00:00,Apache-2.0,Permissive
gunicorn,0.7.0,2010-03-26 22:21:12.859000+00:00,MIT,Permissive
isort,1.0.0,2013-12-10 00:12:57.754000+00:00,GPL-2.0-only,Strong Copyleft
isort,1.0.1,2013-12-10 00:16:29.965000+00:00,MIT,Permissive
adal,0.1.0,2015-10-08 22:21:45.510000+00:00,MIT,Permissive
pyodbc,2.1.2,2015-09-24 19:50:22.286000+00:00,MIT-0,Permissive
pyodbc,2.1.3,2015-09-24 19:50:26.939000+00:00,MIT,Permissive
pyodbc,2.1.4,2015-09-24 19:50:33.605000+00:00,MIT-0,Permissive
pyodbc,2.1.6,2015-09-24 19:50:43.585000+00:00,MIT,Permissive
absl-py,0.1.0,2017-09-26 20:21:55.630000+00:00,Apache-2.0,Permissive
h11,0.5.0,2016-05-14 01:29:48.613000+00:00,MIT,Permissive
ply,3.6,2015-04-26 21:52:41.113000+00:00,BSD-3-Clause,Permissive
oscrypto,0.12.0,2015-11-10 16:31:42.071000+00:00,MIT,Permissive
sentry-sdk,0.1.0rc1,2018-07-26 16:02:57.525000+00:00,BSD-3-Clause,Permissive
anyio,1.0.0a1,2018-10-12 10:06:05.469000+00:00,MIT,Permissive
azure-identity,1.0.0b1,2019-06-28 17:38:25.762000+00:00,MIT,Permissive
markdown,2.0,2009-04-07 04:10:53.124000+00:00,BSD-3-Clause,Permissive
google-cloud-pubsub,0.20.0,2016-09-29 00:17:54.412000+00:00,Apache-2.0,Permissive
tenacity,2.0.0,2016-08-25 15:40:17.628000+00:00,Apache-2.0,Permissive
rich,0.1.0,2019-11-10 15:57:08.362000+00:00,MIT,Permissive
networkx,0.34,2007-04-13 01:52:32+00:00,LGPL-3.0-only,Weak Copyleft
networkx,1.0,2010-01-11 18:15:24.075000+00:00,BSD-3-Clause,Permissive
traitlets,0.0.1,2013-12-07 14:26:23.991000+00:00,BSD-3-Clause,Permissive
google-auth-httplib2,0.0.1,2016-10-28 20:23:25.556000+00:00,Apache-2.0,Permissive
tornado,0.2,2010-05-18 11:03:55.382000+00:00,Apache-2.0,Permissive
cfn-lint,0.0.5,2018-04-17 13:15:07.617000+00:00,MIT,Permissive
python-dotenv,0.1.2,2015-02-28 16:30:18.889000+00:00,BSD-3-Clause,Permissive
datadog,0.1.1,2015-03-11 16:01:37.465000+00:00,BSD-3-Clause,Permissive
prompt-toolkit,0.58,2016-02-23 22:29:14.696000+00:00,BSD-3-Clause,Permissive
dill,0.1a1,2015-12-22 20:21:13.898000+00:00,BSD-3-Clause,Permissive
awswrangler,0.0b0,2019-02-28 23:57:42.621000+00:00,Apache-2.0,Permissive
threadpoolctl,1.0.0,2019-06-03 13:48:34.948000+00:00,BSD-3-Clause,Permissive
secretstorage,1.0.0,2013-05-08 15:25:06.173000+00:00,BSD-3-Clause,Permissive
xmltodict,0.3,2012-11-14 14:57:11.845000+00:00,MIT,Permissive
jeepney,0.1,2017-02-26 16:48:53.105000+00:00,MIT,Permissive
nbconvert,4.0.0,2015-07-12 22:09:07.964000+00:00,BSD-3-Clause,Permissive
poetry-core,1.0.0a0,2020-02-07 16:25:57.696000+00:00,MIT,Permissive
flake8,0.2,2011-01-26 12:00:15.732000+00:00,MIT,Permissive
mako,0.1.0,2006-12-31 22:32:00+00:00,MIT,Permissive
tzdata,1.2016.5a1,2016-08-20 17:13:36.712000+00:00,BSD-3-Clause,Permissive
tzdata,2020.1rc0,2020-05-08 14:44:32.974000+00:00,Apache-2.0,Permissive
nest-asyncio,0.9.1,2018-09-07 15:27:33.645000+00:00,BSD-3-Clause,Permissive
alembic,0.1.1,2012-01-05 02:13:38.316000+00:00,MIT,Permissive
redshift-connector,2.0.384,2020-11-04 18:52:25.798000+00:00,BSD-3-Clause,Permissive
redshift-connector,2.0.399,2020-11-05 03:22:10.843000+00:00,Apache-2.0,Permissive
xlrd,0.5.2,2006-03-17 07:01:42+00:00,BSD-3-Clause,Permissive
pycryptodome,3.0rc1,2014-06-14 20:47:28.026000+00:00,Unlicense,Permissive
pycryptodome,3.0,2014-06-24 20:15:43.221000+00:00,BSD-3-Clause,Permissive
pycryptodome,3.7.0,2018-10-28 07:51:41.403000+00:00,Apache-2.0,Permissive
pycryptodome,3.7.1,2018-11-25 07:09:58.981000+00:00,BSD-3-Clause,Permissive
pycryptodome,3.8.1,2019-04-04 09:25:41.792000+00:00,Apache-2.0,Permissive
pycryptodome,3.10.0,2021-02-07 15:12:14.891000+00:00,BSD-3-Clause,Permissive
pkginfo,0.3,2009-05-07 17:54:51.468000+00:00,PSF-2.0,Unknown
pkginfo,1.4.0,2016-11-04 20:38:32.437000+00:00,MIT,Permissive
marshmallow,0.1.0,2013-11-11 04:26:59.997000+00:00,MIT,Permissive
pbr,0.5.0,2013-03-18 07:02:57.671000+00:00,Apache-2.0,Permissive
jupyter-client,4.0.0,2015-07-12 18:44:40.488000+00:00,BSD-3-Clause,Permissive
ipython,0.7.3,2007-01-05 08:33:22+00:00,BSD-3-Clause,Permissive
defusedxml,0.3,2013-02-19 15:05:02.856000+00:00,PSF-2.0,Unknown
pytz-deprecation-shim,0.1.0,2020-06-17 02:37:13.908000+00:00,Apache-2.0,Permissive
markdown-it-py,0.1.0,2020-03-25 17:41:26.646000+00:00,MIT,Permissive
tomlkit,0.1.0,2018-07-10 01:54:08.392000+00:00,MIT,Permissive
pytest-cov,0.6,2010-04-25 03:43:13.053000+00:00,MIT,Permissive
pymongo,0.1pre,2009-01-22 20:12:34+00:00,Apache-2.0,Permissive
requests-aws4auth,0.4,2015-03-07 23:51:42.811000+00:00,MIT,Permissive
fonttools,2.4,2013-12-16 23:09:31.322000+00:00,BSD-3-Clause,Permissive
fonttools,3.21.2,2018-01-08 12:51:02.538000+00:00,MIT,Permissive
tox,0.0.0,2018-10-07 11:56:13.296000+00:00,MIT,Permissive
tox,0.5,2010-07-12 13:30:18.478000+00:00,GPL-2.0-or-later,Strong Copyleft
tox,1.5.0,2013-06-22 13:05:36.980000+00:00,MIT,Permissive
mdurl,0.0.1,2021-07-20 16:01:55.647000+00:00,MIT,Permissive
asynctest,0.2.0,2015-05-12 07:05:29.563000+00:00,Apache-2.0,Permissive
tensorboard,1.0.0a0,2017-02-25 17:16:34.541000+00:00,Apache-2.0,Permissive
prometheus-client,0.0.1,2015-02-09 22:53:50.336000+00:00,Apache-2.0,Permissive
pyflakes,0.3.0,2009-01-30 16:27:09+00:00,MIT,Permissive
tensorflow-serving-api,1.3.0,2017-08-19 00:08:06.101000+00:00,Apache-2.0,Permissive
dnspython,1.11.0,2013-07-22 12:13:40.098000+00:00,ISC,Permissive
argcomplete,0.1.1,2012-11-20 18:39:23.818000+00:00,GPL-3.0-only,Strong Copyleft
argcomplete,0.1.3,2012-11-21 02:06:59.185000+00:00,Apache-2.0,Permissive
pyzmq,2.0.7,2010-08-29 04:08:12.065000+00:00,LGPL-3.0-only,Weak Copyleft
pyzmq,2.2.0,2012-04-26 02:04:08.536000+00:00,BSD-3-Clause,Permissive
cattrs,0.5.0,2017-12-11 19:57:12.378000+00:00,MIT,Permissive
jedi,0.5b3,2012-10-14 14:43:44.974000+00:00,LGPL-3.0-only,Weak Copyleft
jedi,0.8.0-final0,2014-05-04 22:35:34.555000+00:00,MIT,Permissive
typing-inspect,0.1.0,2017-05-07 11:41:55.375000+00:00,MIT,Permissive
jsonpath-ng,1.4.1,2017-03-12 15:27:11.145000+00:00,Apache-2.0,Permissive
simplejson,1.1,2005-12-31 23:11:36+00:00,MIT,Permissive
toolz,0.1,2013-09-11 02:47:39.100000+00:00,BSD-3-Clause,Permissive
progressbar2,2.4.0,2013-08-20 10:09:49.723000+00:00,LGPL-2.1-or-later,Weak Copyleft
progressbar2,3.0.1,2015-10-07 17:33:46.214000+00:00,BSD-3-Clause,Permissive
python-utils,1.0,2011-10-16 03:43:36.037000+00:00,BSD-3-Clause,Permissive
tensorflow,0.12.0rc0,2016-11-27 09:22:22.095000+00:00,Apache-2.0,Permissive
jupyter-core,4.0.0,2015-07-02 16:52:59.211000+00:00,BSD-3-Clause,Permissive
parso,0.0.1,2017-05-20 18:43:10.856000+00:00,MIT,Permissive
elasticsearch,0.4.1,2013-09-24 16:41:07.512000+00:00,Apache-2.0,Permissive
html5lib,0.2,2013-06-30 13:59:14.018000+00:00,MIT,Permissive
pickleshare,0.1,2006-01-28 15:02:58+00:00,MIT,Permissive
aioitertools,0.0.0,2018-06-26 17:04:34.066000+00:00,MIT,Permissive
databricks-cli,0.1,2017-06-15 19:14:37.655000+00:00,Apache-2.0,Permissive
black,18.3a0,2018-03-14 21:30:36.408000+00:00,MIT,Permissive
backcall,0.1.0,2014-02-13 23:14:12.416000+00:00,BSD-3-Clause,Permissive
rfc3986,0.1.0,2014-06-27 22:14:04.059000+00:00,Apache-2.0,Permissive
oauth2client,1.0beta2,2011-06-29 17:14:11.296000+00:00,Apache-2.0,Permissive
lazy-object-proxy,0.1.0,2014-12-11 15:12:11.814000+00:00,BSD-3-Clause,Permissive
setuptools-scm,1.0.0,2015-02-23 19:12:49.295000+00:00,MIT,Permissive
sortedcontainers,0.5.0,2014-03-18 17:27:57.485000+00:00,Apache-2.0,Permissive
lockfile,0.8,2013-08-23 00:55:54.783000+00:00,MIT,Permissive
grpc-google-iam-v1,0.10.1,2016-09-28 19:40:50.197000+00:00,Apache-2.0,Permissive
google-cloud-secret-manager,0.1.0,2019-12-20 15:04:59.058000+00:00,Apache-2.0,Permissive
kafka-python,0.9.0,2014-03-26 15:25:56.021000+00:00,Apache-2.0,Permissive
bleach,0.2.1,2010-02-23 19:31:51.051000+00:00,BSD-3-Clause,Permissive
bleach,1.4,2014-01-12 16:30:06.983000+00:00,Apache-2.0,Permissive
tensorflow-estimator,1.10.6,2018-09-18 05:06:03.995000+00:00,Apache-2.0,Permissive
msrestazure,0.0.1,2016-02-19 00:22:39.551000+00:00,MIT,Permissive
opensearch-py,1.0.0,2021-09-20 22:05:52.612000+00:00,Apache-2.0,Permissive
gast,0.1,2016-07-18 15:34:59.762000+00:00,BSD-3-Clause,Permissive
entrypoints,0.1,2015-05-15 21:42:46.758000+00:00,MIT,Permissive
